idOrganism,kingdom,group,organism
45,animal,ravageur,char[ae]n[cç]on
43,animal,ravageur,cochenille
42,animal,ravageur,puceron
41,animal,ravageur,pyrale
38,animal,virus,mosaïque
40,animal,virus,oïdium
39,animal,virus,rouille
34,végétal,arbre,chêne
36,végétal,arbre,frêne
35,végétal,arbre,hêtre
46,végétal,arbre,marronnier
37,végétal,arbre,olivier
33,végétal,arbre,platane
6,végétal,céréale,avoine
1,végétal,céréale,blé
2,végétal,céréale,colza
5,végétal,céréale,lin
3,végétal,céréale,maïs
4,végétal,céréale,orge
7,végétal,céréale,riz
47,végétal,fleur,cyclamen
51,végétal,fleur,g[eé]ranium
48,végétal,fleur,primev[eè]re
50,végétal,fleur,rose
49,végétal,fleur,tulipe
8,végétal,fruit,abricots
9,végétal,fruit,amande
10,végétal,fruit,ananas
11,végétal,fruit,anis
12,végétal,fruit,arachide
13,végétal,fruit,banane
14,végétal,fruit,betterave
15,végétal,fruit,cacao
16,végétal,fruit,fraise
44,végétal,fruit,houblon
17,végétal,fruit,melon
18,végétal,fruit,noisette
20,végétal,fruit,poire
19,végétal,fruit,pomme
21,végétal,fruit,raisin
23,végétal,légume,artichaut
24,végétal,légume,asperge
25,végétal,légume,aubergine
26,végétal,légume,avocat
27,végétal,légume,basilic
28,végétal,légume,brocoli
29,végétal,légume,carotte
30,végétal,légume,chou
31,végétal,légume,haricot
32,végétal,légume,oignon
33,végétal,céréale,f[eèê]ve
34,animal,ravageur,limace
35,végétal,légume,courge
36,végétal,fleur,chrysant[èe]me
37,végétal,légume,persil
38,végétal,légume,céleri
39,végétal,légume,salade
